word,pos,cn,ex
Abolish,v.,废除，取消（法律、制度等）,The government decided to abolish outdated regulations. 政府决定废除过时的法规。
Accelerate,v.,加速，促进,Technology can accelerate economic growth. 技术能加速经济增长。
Accommodate,v.,容纳；适应；顺应,The design must accommodate users' needs. 设计必须适应用户需求。
Accumulate,v.,积累，积聚,We accumulate experience through practice. 我们通过实践积累经验。
Acknowledge,v.,承认；致谢,He acknowledged the limitations of the study. 他承认了研究的局限性。
Adhere,v.,坚持；依附；粘着 (to),We must adhere to ethical standards. 我们必须遵守道德标准。
Advocate,v.,提倡，主张,Experts advocate for a balanced diet. 专家提倡均衡饮食。
Aggravate,v.,加重，恶化；激怒,Air pollution may aggravate respiratory diseases. 空气污染可能加重呼吸系统疾病。
Alleviate,v.,减轻，缓和,New policies aim to alleviate poverty. 新政策旨在缓解贫困。
Allocate,v.,分配，拨出,Resources were allocated to urgent projects. 资源被分配给紧急项目。
Amplify,v.,放大；详述,The speaker amplified his point with examples. 演讲者用例子详述了观点。
Anticipate,v.,预期，预料,We anticipate a rise in demand next quarter. 我们预期下季度需求会上升。
Appreciate,v.,赏识；感激；增值,I appreciate your help. 感谢你的帮助。
Ascertain,v.,查明，确定,The study aims to ascertain the causes of failure. 研究旨在查明失败原因。
Assert,v.,断言，宣称,He asserted that the data were reliable. 他断言这些数据可靠。
Assimilate,v.,同化；吸收,It takes time to assimilate new information. 吸收新信息需要时间。
Attribute,v./n.,把…归因于；属性,They attribute success to teamwork. 他们把成功归因于团队合作。
Augment,v.,增大，增加,Online courses augment traditional learning. 在线课程增强了传统学习。
Bewilder,v.,使迷惑，使不知所措,The complex instructions bewildered users. 复杂的说明让用户困惑。
Breach,v./n.,违反；破坏；缺口,Sharing passwords is a breach of policy. 共享密码是违反政策。
Collaborate,v.,合作，协作,Teams collaborate across departments. 团队跨部门协作。
Commence,v.,开始,The ceremony will commence at 10 a.m. 仪式将于上午10点开始。
Compensate,v.,补偿，赔偿,The company will compensate for the losses. 公司将对损失进行赔偿。
Compile,v.,汇编，编辑,We compiled a list of key terms. 我们汇编了关键术语清单。
Complement,v./n.,补充，相配,Soft skills complement technical expertise. 软技能与技术专长相互补充。
Comply,v.,遵从，依从 (with),All staff must comply with safety rules. 所有员工必须遵守安全规章。
Conceive,v.,构想；怀孕,It's hard to conceive of such a solution. 很难构想这样的解决方案。
Condense,v.,浓缩；精简,Please condense your report to one page. 请将报告精简到一页。
